primary_category,postings,total_vacancies,median_salary,avg_applications,avg_views,salary_score,demand_score,vacancy_score,competition_score,opportunity_score
Medical / Therapy Services,4011,12465,4050.0,0.9217152829718275,16.073797058090253,0.3548387096774194,0.35071602202424496,0.4410672605877901,0.705549690884919,43.7
Others,24172,66828,3925.0,2.405510508025815,29.348419659109712,0.3279569892473118,0.7129486192436376,0.7603993020281208,0.324943414731388,48.8
Personal Care / Beauty,10206,38387,4000.0,0.23437193807564177,8.240446796002352,0.34408602150537637,0.5390551374709304,0.6549667473652514,1.0,57.1
Precision Engineering,734,1225,3750.0,1.0463215258855585,24.4850136239782,0.2903225806451613,0.008405155484169488,0.0,0.6637586967099407,25.1
Professional Services,3603,9510,4250.0,2.3127948931446016,29.539827921176798,0.3978494623655914,0.32908518371852075,0.3896137933326604,0.34330442152145657,36.9
Public / Civil Service,704,2995,4500.0,2.7514204545454546,41.28267045454545,0.45161290322580644,0.0,0.16992703808828535,0.26059312408196145,25.8
Purchasing / Merchandising,4774,6967,3400.0,2.67804775869292,27.644742354419773,0.21505376344086022,0.3858318697985795,0.33044582771607084,0.2737322551427278,28.7
Real Estate / Property Management,4051,7941,4000.0,3.273759565539373,30.909405085164156,0.34408602150537637,0.35271697636861754,0.3553279737993991,0.17387937803727926,31.4
Repair and Maintenance,7195,18693,2800.0,0.8522585128561501,17.037526059763724,0.08602150537634409,0.4685531237009768,0.5181264721182814,0.7300369694512752,37.5
Risk Management,1072,1533,6750.0,3.8722014925373136,38.53917910447761,0.9354838709677419,0.08471492331740242,0.042622786749853016,0.08670489299260686,41.9
Sales / Retail,36704,96165,3500.0,1.2003868788142982,17.032666739319964,0.23655913978494625,0.7971917261633519,0.8296120205819291,0.6154729491292392,54.1
Sciences / Laboratory / R&D,10332,14394,4950.0,1.7340301974448316,27.265485869144406,0.5483870967741935,0.5415297072162714,0.4684291400017508,0.47103118487307216,51.9
Security and Investigation,2445,29745,2675.0,2.4944785276073618,33.16114519427403,0.05913978494623656,0.2509103345272012,0.6064620999643062,0.30778862617266056,23.9
Social Services,3642,7641,3700.0,4.550521691378363,54.26166941241076,0.27956989247311825,0.33125605805025277,0.34800506577586643,0.0,24.7
Telecommunications,865,2639,4250.0,1.9907514450867052,25.359537572254336,0.3978494623655914,0.041485966933865394,0.14586983055056832,0.41133177505776264,27.4
Travel / Tourism,986,2976,3204.25,3.5081135902636915,43.232251521298174,0.17295698924731182,0.06786461422422004,0.16871713618658252,0.13836827522325057,13.9
Wholesale Trade,2648,4769,4000.0,3.1200906344410875,35.038897280966765,0.34408602150537637,0.266991072003415,0.2583722433223094,0.1982378005660137,28.3
