metadata_jobPostId,metadata_newPostingDate,title_display,primary_category,employmentTypes,seniority_group,salary_band,average_salary,applications_per_posting,views_per_posting,vacancy_demand
MCF-2023-0659807,2023-08-28,Analyser Engineer - Iso 17025 / Oil And Gas Industry,Engineering,Permanent,Senior,5000-7999,6000.0,0,0,1
MCF-2024-0512598,2024-04-08,Service Engineering Assistant,Engineering,Permanent,Entry Level,<3000,2900.0,1,13,2
MCF-2023-0611725,2023-08-11,Qc Inspector,Manufacturing,Permanent,Junior,<3000,2750.0,0,1,1
MCF-2023-0822897,2023-10-29,Associate Engineer (Plc / Scada),Design,Permanent,Junior,3000-4999,3550.0,0,0,5
MCF-2023-0623296,2023-08-15,4301- Reception Cum Admin [Customer Service |Administration],Admin / Secretarial,Full Time,Entry Level,<3000,2500.0,0,1,2
MCF-2023-0627151,2023-08-16,Workshop Admin,Admin / Secretarial,Full Time,Entry Level,<3000,2050.0,0,0,1
MCF-2023-0781921,2023-10-13,Data Processing Specialist / Document Imaging Specialist - 6 Months Contract - (Basic+Incentives+Benefits) At West Area Of Singapore/Boon Lay/Jurong,Admin / Secretarial,Contract,Entry Level,<3000,1350.0,0,3,10
MCF-2023-0507658,2023-07-04,Infant Educator,Education and Training,Full Time,Junior,<3000,2750.0,0,0,2
MCF-2024-0140867,2024-02-14,Service Sales Coordinator,General Management,Full Time,Junior,<3000,3000.0,0,2,1
MCF-2023-0964894,2023-12-04,Education Consultant (Academy),Sales / Retail,Full Time,Entry Level,3000-4999,3250.0,0,1,4
MCF-2023-0752186,2023-10-03,Sales Executive,Banking and Finance,Full Time,Senior,<3000,2650.0,0,14,2
MCF-2023-0494624,2023-06-28,Hr Operations Executive - Changi - 5.5 Day Week-Singaporeans Only,Logistics / Supply Chain,Full Time,Entry Level,<3000,2550.0,0,12,2
MCF-2024-0680291,2024-05-10,Project Engineer,Engineering,Full Time,Mid Level,3000-4999,4500.0,0,1,1
MCF-2024-0254267,2024-02-21,Food Processing Supervisor,Manufacturing,Full Time,Junior,3000-4999,3250.0,0,3,1
MCF-2023-0384088,2023-05-18,Crawler And Rough Terrain Crane Operator,Building and Construction,Permanent,Junior,3000-4999,3750.0,8,109,2
MCF-2023-0430027,2023-06-05,Customer Service Executive,Customer Service,Full Time,Junior,<3000,2250.0,2,42,3
MCF-2024-0614993,2024-04-27,Civil Engineer,Building and Construction,Permanent,Junior,3000-4999,4200.0,0,0,1
MCF-2023-0367978,2023-05-12,Senior / Advertising Officer,Advertising / Media,Permanent,Senior,3000-4999,3750.0,3,79,1
MCF-2024-0403656,2024-03-19,Teacher Of Humanities (Senior School),Education and Training,Contract,Junior,8000+,10000.0,0,4,1
MCF-2023-1054486,2023-12-24,Temp Admin Assistant Ii North Ii 3-6 Month Ii $11.50/Hr,Admin / Secretarial,Contract,Junior,<3000,1975.0,0,0,20
MCF-2023-0420767,2023-05-31,"Asset Servicing Analyst (6 Months Contract, Convertible)",Banking and Finance,Contract,Entry Level,3000-4999,5000.0,8,54,1
MCF-2023-0274984,2023-04-09,Primary School Learning Support Teacher,Education and Training,Full Time,Mid Level,8000+,8250.0,64,638,2
MCF-2024-0394528,2024-03-18,Senior Application Support Engineer (Business Analyst),Consulting,Permanent,Mid Level,5000-7999,6250.0,1,7,1
MCF-2023-0799068,2023-10-19,Business Analyst (Apac) (Id: 591992),Others,Permanent,Senior,3000-4999,4900.0,0,2,1
MCF-2023-0427451,2023-06-04,Logistic Personnel,Engineering,Permanent,Entry Level,<3000,2250.0,9,148,1
MCF-2023-0829291,2023-10-31,Clinical Operations Executive (Hospital Informatics) #Hho,Customer Service,Permanent,Junior,3000-4999,4150.0,0,0,4
MCF-2023-0697334,2023-09-12,E-Commerce Executive,Customer Service,Full Time,Entry Level,3000-4999,3300.0,0,1,1
MCF-2023-0258693,2023-06-08,Junior Project Manager - It (Permanent),Information Technology,Permanent,Junior,5000-7999,6000.0,67,538,1
MCF-2023-0466165,2023-06-17,Information Technology Consultant,Information Technology,Contract,Senior,5000-7999,7500.0,2,81,1
MCF-2023-0540996,2023-07-17,Operations Executive,Admin / Secretarial,Full Time,Entry Level,<3000,2650.0,0,3,2
MCF-2024-0458224,2024-03-28,"Office Administrator, Mnc",Accounting / Auditing / Taxation,Permanent,Entry Level,<3000,3000.0,0,2,1
MCF-2023-0435009,2023-06-07,"Sales Engineer (Mnc, Up To $4000)",Sales / Retail,Permanent,Junior,3000-4999,4350.0,5,37,1
MCF-2023-0370346,2023-05-13,"Business Analyst (User Story Creations, Government Projects)",Others,Permanent,Senior,5000-7999,7500.0,39,185,1
MCF-2024-0295512,2024-02-28,Debt Syndications,Accounting / Auditing / Taxation,Permanent,Junior,8000+,8500.0,0,0,1
MCF-2023-0414686,2023-05-30,Logistic Assistant #65077,Logistics / Supply Chain,Permanent,Junior,<3000,2200.0,0,43,3
MCF-2024-0735245,2024-05-20,Senior Business Management Planning Executive |Orchard,Advertising / Media,Permanent,Senior,3000-4999,4250.0,0,0,1
MCF-2024-0051710,2024-01-10,Hair Illusionz Private Limted,Professional Services,Full Time,Junior,3000-4999,3800.0,0,3,2
MCF-2024-0533377,2024-04-12,Proposal Manager,Consulting,Full Time,Junior,5000-7999,5750.0,0,3,1
MCF-2023-0688324,2023-09-08,Masseur(Non-Medical),Personal Care / Beauty,Full Time,Junior,3000-4999,3900.0,0,3,5
MCF-2023-1006838,2023-12-12,Firmware R&D Engineer (C/C++),Engineering,Permanent,Senior,3000-4999,5000.0,0,2,1
MCF-2023-0620507,2023-08-14,"Hybrid Sales Manager, Linkedin Talent Solutions",Sales / Retail,Full Time,Manager,8000+,17740.0,0,0,1
MCF-2024-0510007,2024-04-08,(Jp) Lift Technician (Maintenance),General Work,Permanent,Entry Level,<3000,2850.0,0,0,1
MCF-2023-0404162,2023-06-28,Housekeeping Executive,Hospitality,Full Time,Junior,3000-4999,3050.0,2,98,1
MCF-2023-0396811,2023-05-23,Solution Architect,Information Technology,Full Time,Senior,8000+,10550.0,3,61,1
MCF-2024-0110660,2024-01-22,Business Analyst - Hc024,Information Technology,Full Time,Junior,5000-7999,7500.0,1,5,1
MCF-2023-0785630,2023-10-14,Business Development Manager (Freight Forwarding) - Ig7,Logistics / Supply Chain,Full Time,Junior,3000-4999,5000.0,0,5,1
MCF-2024-0186910,2024-02-06,General Worker (Aircraft Cleaning),General Work,Contract,Entry Level,<3000,2250.0,0,3,2
MCF-2023-0292423,2023-04-14,Product Manager,Healthcare / Pharmaceutical,Part Time,Manager,5000-7999,7250.0,38,304,1
MCF-2023-0381481,2023-05-17,Delivery Attendant | Clementi - 4769,Logistics / Supply Chain,Permanent,Junior,<3000,1850.0,1,26,1
MCF-2024-0557245,2024-04-17,"Senior Professional Officer - Electronics Engineering, Rapid Product Innovation & Development",Engineering,Full Time,Manager,5000-7999,7250.0,1,8,1
MCF-2023-0715074,2023-09-19,Nutritionist,Environment / Health,Full Time,Entry Level,3000-4999,4500.0,0,2,1
MCF-2024-0701868,2024-05-14,Clinic Nurse / Staff Nurse | Up To $4K | Bcls & Aed| Orchard - 4769,Healthcare / Pharmaceutical,Permanent,Junior,3000-4999,3400.0,0,1,1
MCF-2024-0168372,2024-02-01,3 Months Account Assistant - South #Hdt,Accounting / Auditing / Taxation,Contract,Junior,<3000,2750.0,0,0,2
MCF-2024-0109977,2024-01-22,Structural Bim Modeller,Building and Construction,Permanent,Mid Level,<3000,3000.0,0,0,3
MCF-2023-0718496,2023-09-20,Teacher / Instructor,Education and Training,Full Time,Junior,<3000,2850.0,0,0,1
MCF-2024-0006451,2024-01-02,Project Engineer (Basic Up To $4500/ Bonus/ 5 Days/ Tuas),Engineering,Permanent,Junior,3000-4999,4000.0,0,1,1
MCF-2023-0685406,2023-09-07,"Business Analyst (Bank) (Jt) (Treasury, Alm, Basel 3)",Banking and Finance,Contract,Senior,5000-7999,8000.0,0,2,1
MCF-2023-0835576,2023-11-02,Admission Counselor [ Sales Role / Marine Parade / Bd ],Admin / Secretarial,Permanent,Junior,<3000,3000.0,0,0,2
MCF-2023-0793935,2023-10-17,"Call Centre ( Healthcare, Mon-Fri) #Hxt",Environment / Health,Temporary,Entry Level,<3000,2300.0,0,0,5
MCF-2023-0990402,2023-12-08,Spa Therapist,Personal Care / Beauty,Full Time,Junior,3000-4999,4000.0,0,1,5
MCF-2023-0429684,2023-06-05,Admin Assistant | Up To 2500 ** Ec98,Admin / Secretarial,Permanent,Entry Level,<3000,2250.0,1,38,1
MCF-2023-0881376,2023-11-16,"Operations Assistant(Town, No Exp Needed)",Admin / Secretarial,Permanent,Junior,3000-4999,3050.0,1,3,1
MCF-2024-0417046,2024-03-21,Administrator,Admin / Secretarial,Full Time,Entry Level,<3000,2150.0,1,4,2
MCF-2023-0655474,2023-08-26,Cleaner,Others,Full Time,Junior,<3000,1700.0,0,2,2
MCF-2023-0792110,2023-10-17,Pr Executive,Marketing / Public Relations,Full Time,Senior,<3000,2750.0,0,1,1
MCF-2023-0469524,2023-06-19,Architecture Bim Engineer (Training Provided),Building and Construction,Full Time,Entry Level,<3000,3000.0,1,70,10
MCF-2024-0320676,2024-03-04,Driver Cum Personal Assistant,Others,Full Time,Junior,3000-4999,4500.0,1,6,1
MCF-2024-0171598,2024-02-02,Customer Service Officer (Up To $2500 / Jurong East),Admin / Secretarial,Permanent,Junior,<3000,2350.0,0,4,1
MCF-2023-0714146,2023-09-18,Accounts Assistant (Good Learning Opportunity) #Jys,Accounting / Auditing / Taxation,Contract,Entry Level,<3000,2600.0,0,0,1
MCF-2024-0728297,2024-05-19,Admin Assistant #66285,Admin / Secretarial,Permanent,Junior,<3000,2150.0,0,6,3
MCF-2023-0584518,2023-08-01,Maintenance Officer (Location - Tampines),Repair and Maintenance,Full Time,Entry Level,<3000,2250.0,0,0,1
MCF-2024-0066936,2024-01-12,Dental Lab Technician,Healthcare / Pharmaceutical,Permanent,Junior,3000-4999,4500.0,0,4,3
MCF-2023-0561647,2023-07-24,Recruitment Consultant (Banking & Finance/Tai Seng/Salary Up To $4K),Human Resources,Permanent,Entry Level,3000-4999,3250.0,0,9,1
MCF-2023-0424123,2023-06-12,"Production Planner (Manufacturing/ Oil&Gas/ Precision, West)",Engineering,Permanent,Entry Level,3000-4999,3250.0,3,47,2
MCF-2023-0810746,2023-10-24,Aircraft Technician Assistant (Up To $3K / Transport Provided / East) - Bo9,Repair and Maintenance,Contract,Junior,<3000,2250.0,0,0,5
MCF-2024-0003581,2024-01-02,Spa Therapist,Healthcare / Pharmaceutical,Permanent,Entry Level,3000-4999,4500.0,0,0,10
MCF-2023-0433908,2023-06-06,"Sales Engineer, Elevator/Mnc #Movingforward",Sales / Retail,Permanent,Junior,3000-4999,3850.0,0,21,2
MCF-2024-0727292,2024-05-18,Admin Assistant - Funeral Industry (Hybrid/ Excel)_Cp1,Admin / Secretarial,Permanent,Entry Level,<3000,2150.0,1,17,1
MCF-2023-0812234,2023-10-25,Warehouse Assistants,General Work,Flexi-work,Entry Level,<3000,2150.0,0,8,3
MCF-2023-0054047,2023-04-14,Order Processing Analyst,Admin / Secretarial,Permanent,Mid Level,5000-7999,6400.0,45,465,1
MCF-2024-0131505,2024-01-25,"Executive, Data And Ai | 1 Year Agency Contract | Up To $5,000 | Ot Required",Information Technology,Contract,Junior,3000-4999,4500.0,0,7,1
MCF-2023-0903215,2023-11-21,Systems Programmer (Windows),Information Technology,Full Time,Senior,8000+,9750.0,0,0,1
MCF-2023-0749715,2023-10-02,Freelance Coding Instructor,Education and Training,Freelance,Entry Level,<3000,1550.0,2,21,20
MCF-2023-0620659,2023-08-14,Data Scientist (Security Algorithm) - Product Security,Information Technology,Full Time,Entry Level,8000+,16900.0,0,8,2
MCF-2023-1038469,2023-12-20,Business Analyst Lead,Banking and Finance,Full Time,Manager,8000+,9000.0,0,2,1
MCF-2023-0351230,2023-05-07,"Shipping Executive (East/ Airfreight -Fullset,Mnc, 5 Days, Office Hours)",Logistics / Supply Chain,Permanent,Junior,3000-4999,4000.0,10,70,1
MCF-2024-0325379,2024-03-05,Senior Security Officer,Security and Investigation,Permanent,Junior,<3000,2187.5,0,2,2
MCF-2023-0501563,2023-07-02,Chef De Partie,F&B,Flexi-work,Junior,3000-4999,3500.0,0,4,2
MCF-2023-0714386,2023-09-18,Business Development Manager,Banking and Finance,Part Time,Entry Level,3000-4999,4000.0,0,0,1
MCF-2024-0292056,2024-02-28,Mechanic Executive,Repair and Maintenance,Full Time,Entry Level,3000-4999,3500.0,0,2,3
MCF-2023-0337958,2023-05-02,Credit And Revenue Executive,Accounting / Auditing / Taxation,Full Time,Junior,<3000,3000.0,6,113,1
MCF-2023-0574601,2023-07-27,Procurement Assistant,Logistics / Supply Chain,Permanent,Junior,<3000,2800.0,0,8,1
MCF-2024-0261619,2024-02-22,Customer Service Officer,Customer Service,Full Time,Junior,<3000,2600.0,1,16,1
MCF-2023-0471942,2023-06-20,"Treasures Relationship Manager (Onshore/Offshore), Consumer Banking Group (23000024)",Banking and Finance,Permanent,Senior,5000-7999,7000.0,1,57,1
MCF-2023-0455526,2023-07-17,Senior Operations Executive,Customer Service,Permanent,Junior,3000-4999,3150.0,6,86,2
MCF-2023-0602893,2023-08-07,Events Executive,Advertising / Media,Permanent,Junior,<3000,3000.0,0,0,2
MCF-2023-0247068,2023-05-10,Sales Engineer,Engineering,Permanent,Junior,3000-4999,4500.0,19,200,1
MCF-2023-0270495,2023-04-06,Operations Foreman Cum Driver,Building and Construction,Full Time,Entry Level,3000-4999,3700.0,1,42,1
MCF-2023-0667954,2023-08-31,Kitchen Assistant / Crew - 5 Day Work Week,F&B,Full Time,Entry Level,<3000,2250.0,0,0,30
MCF-2024-0098645,2024-01-18,Sales Manager,Wholesale Trade,Full Time,Senior,8000+,12500.0,1,35,3
MCF-2023-0884653,2023-11-17,Senior Research Fellow / Postdoctoral Researcher,Sciences / Laboratory / R&D,Contract,Junior,5000-7999,7200.0,0,1,1
MCF-2024-0753113,2024-05-24,Service Sales Engineer (Smart Home Control) - 7341,Engineering,Full Time,Entry Level,<3000,3000.0,0,2,1
MCF-2023-0984408,2023-12-07,Office Manager,Admin / Secretarial,Full Time,Junior,3000-4999,4000.0,0,3,1
MCF-2023-0567515,2023-07-25,Barber,Customer Service,Full Time,Mid Level,3000-4999,3500.0,0,2,1
MCF-2024-0588419,2024-04-23,Business Analyst (Etl/ Data Mapping),Information Technology,Full Time,Senior,8000+,8250.0,1,38,5
MCF-2023-0650733,2023-08-24,"It Support Executive (L1/L2, Up To $4,200)",Information Technology,Permanent,Junior,3000-4999,3600.0,0,0,1
MCF-2023-0494401,2023-06-28,Senior Occupational Therapist ( School ) #Hvy,Healthcare / Pharmaceutical,Permanent,Entry Level,3000-4999,4000.0,0,11,5
MCF-2023-0906442,2023-11-21,Catering Chef,F&B,Full Time,Senior,3000-4999,3500.0,0,3,2
MCF-2024-0428479,2024-03-22,Ar Accounting Lead,Accounting / Auditing / Taxation,Permanent,Senior,3000-4999,4500.0,0,4,1
MCF-2024-0197988,2024-02-07,Medical Laboratory Technician (Ngs),Sciences / Laboratory / R&D,Full Time,Junior,3000-4999,4050.0,0,1,2
MCF-2024-0570081,2024-04-19,-Recruitment Officer,Admin / Secretarial,Part Time,Entry Level,<3000,1640.0,0,0,1
MCF-2023-0727329,2023-09-22,"Electrical Technician (West | 5.5 Day) - Up To $3,000 + Allowance + Aws + Ot Pay",Engineering,Permanent,Junior,<3000,2500.0,0,0,1
MCF-2023-1042196,2023-12-20,Maintenance Technician / Energy Industry/ North,Engineering,Permanent,Senior,3000-4999,3050.0,0,1,1
MCF-2024-0313092,2024-03-02,Math And Science Teachers,Education and Training,Contract,Junior,<3000,3000.0,1,14,3
MCF-2023-0565466,2023-07-25,Admin Executive,Admin / Secretarial,Permanent,Junior,3000-4999,3400.0,1,59,1
MCF-2023-0679493,2023-09-05,Looking For An Operational Manager For The Acmv & Electrical Works,Building and Construction,Permanent,Manager,8000+,9900.0,1,12,1
MCF-2023-0958891,2023-12-02,Lead-Planning And Inventory (Distribution Centre),Admin / Secretarial,Permanent,Manager,5000-7999,5650.0,1,1,1
MCF-2023-0598249,2023-08-04,Tax Executive,Accounting / Auditing / Taxation,Permanent,Entry Level,3000-4999,3150.0,0,0,1
MCF-2023-0475805,2023-06-21,Logistics Management Associate (Global Projects & Industry Solutions/ Changi),Logistics / Supply Chain,Full Time,Junior,<3000,2950.0,0,19,1
MCF-2023-0058024,2023-04-29,Cnc Machinist,Engineering,Contract,Entry Level,<3000,3000.0,7,254,5
MCF-2024-0085495,2024-01-16,Experienced Manicurist,Customer Service,Part Time,Manager,<3000,1900.0,0,3,2
MCF-2023-1049467,2023-12-22,Solution Architect,Information Technology,Permanent,Senior,8000+,8500.0,0,3,10
MCF-2023-0722089,2023-09-21,Technical Sme(Ms Sql Dba),Information Technology,Contract,Mid Level,8000+,9500.0,0,3,7
MCF-2024-0587263,2024-04-23,"Av Technician (Central | Salary Up To S$3,300 + High Ot)",Engineering,Permanent,Entry Level,<3000,2700.0,0,2,1
MCF-2024-0271161,2024-02-23,Customer Service Officer (Telesales),Customer Service,Full Time,Junior,<3000,2750.0,0,0,1
MCF-2024-0516944,2024-04-09,Research Assistant,Sciences / Laboratory / R&D,Contract,Senior,5000-7999,5850.0,0,19,1
MCF-2024-0427899,2024-03-22,Lorry Crane Operator (Class 5),Building and Construction,Permanent,Entry Level,3000-4999,4000.0,0,0,1
MCF-2023-0553315,2023-07-20,Accounts Executive,Accounting / Auditing / Taxation,Full Time,Junior,<3000,2650.0,1,6,1
MCF-2023-0381500,2023-05-17,Kitchen In Charge /Kitchen Assistant (Japanese Cuisine With Non-Halal Serving),F&B,Full Time,Junior,<3000,2400.0,1,27,1
MCF-2023-0478185,2023-06-22,Transport Officer,Others,Full Time,Entry Level,<3000,2150.0,2,23,1
MCF-2024-0670836,2024-05-08,"Senior Facility Executive (Pre-School, Up To $4,800)",Education and Training,Full Time,Senior,3000-4999,4400.0,1,7,1
MCF-2024-0658443,2024-05-07,Customer Service Executive (5 Days Work),Customer Service,Permanent,Entry Level,<3000,2600.0,0,6,1
MCF-2023-0969087,2023-12-05,Senior Sales Executive ( Plastic/Biomedical Industry ) #Jobseeker,Advertising / Media,Permanent,Junior,3000-4999,4000.0,0,1,4
MCF-2024-0720568,2024-05-17,Consultant – Professional Services,Human Resources,Permanent,Junior,3000-4999,3750.0,0,1,10
MCF-2023-0965159,2023-12-04,Sous Chef,F&B,Permanent,Mid Level,5000-7999,5050.0,0,0,3
MCF-2023-1057656,2023-12-26,"Research Engineer (Membrane Fabrication), Department Of Chemical & Biomolecular Engineering",Sciences / Laboratory / R&D,Full Time,Entry Level,3000-4999,5000.0,1,7,1
MCF-2024-0397297,2024-03-18,Workplace Technician / 1 Year Contract / Real Estate / West / No Experience Required,Real Estate / Property Management,Temporary,Entry Level,<3000,2700.0,0,3,5
MCF-2023-0082121,2023-04-14,Inside Sales Executive,Information Technology,Permanent,Entry Level,<3000,2650.0,2,69,3
MCF-2023-1007409,2023-12-13,Infant Educarer,Education and Training,Full Time,Junior,<3000,2300.0,0,0,2
MCF-2024-0565811,2024-04-18,Project Supervisor,Engineering,Contract,Entry Level,3000-4999,4000.0,0,2,1
MCF-2023-1021395,2023-12-15,📞📞Warehouse Admin (Basic $2200/West)📞📞060,Customer Service,Permanent,Entry Level,<3000,2100.0,0,4,1
MCF-2023-0658008,2023-08-28,Travel Advisor (Itinerary Planning),Hospitality,Permanent,Junior,3000-4999,3500.0,0,1,2
MCF-2023-0534912,2023-07-13,"Hr Manager (Private Education, Attractive Benefits, Us Company)",Human Resources,Permanent,Manager,5000-7999,6500.0,1,12,1
MCF-2024-0473939,2024-04-02,Marketing Executive,Advertising / Media,Full Time,Junior,3000-4999,4750.0,1,7,1
MCF-2023-0643973,2023-08-22,Human Resource Generalist,Human Resources,Full Time,Junior,3000-4999,3150.0,0,0,1
MCF-2023-1022781,2023-12-15,"[Up To 2.8K] Frontline Customer Service For Small Hostel (Central, Additional Bonus) #Lss",Hospitality,Permanent,Entry Level,<3000,2650.0,0,0,1
