primary_category,seniority_group,salary_band,postings,median_salary,avg_applications
Advertising / Media,Manager,3000-4999,1075,4250.0,2.0725581395348835
Advertising / Media,Manager,5000-7999,1219,6250.0,4.340442986054143
Advertising / Media,Manager,8000+,627,10250.0,5.548644338118022
Advertising / Media,Manager,<3000,55,2750.0,2.4
Advertising / Media,Mid Level,3000-4999,181,4250.0,1.6298342541436464
Advertising / Media,Mid Level,5000-7999,167,6250.0,5.461077844311378
Advertising / Media,Mid Level,8000+,115,10000.0,5.3304347826086955
Advertising / Media,Mid Level,<3000,29,2450.0,1.6896551724137931
Advertising / Media,Senior,3000-4999,962,4100.0,3.3066528066528065
Advertising / Media,Senior,5000-7999,473,6000.0,6.1247357293868925
Advertising / Media,Senior,8000+,458,11050.25,7.1943231441048034
Advertising / Media,Senior,<3000,102,2900.0,2.372549019607843
Architecture / Interior Design,Entry Level,3000-4999,1248,3750.0,0.9487179487179487
Architecture / Interior Design,Entry Level,5000-7999,214,6500.0,1.588785046728972
Architecture / Interior Design,Entry Level,8000+,42,12250.0,1.0952380952380953
Architecture / Interior Design,Entry Level,<3000,858,2750.0,0.8111888111888111
Architecture / Interior Design,Junior,3000-4999,4423,3750.0,0.8019443816414199
Architecture / Interior Design,Junior,5000-7999,533,5750.0,1.2626641651031896
Architecture / Interior Design,Junior,8000+,30,8500.0,3.8333333333333335
Architecture / Interior Design,Junior,<3000,1223,2850.0,0.5118560915780866
Architecture / Interior Design,Manager,3000-4999,603,4250.0,1.3316749585406302
Architecture / Interior Design,Manager,5000-7999,916,6250.0,2.1921397379912664
Architecture / Interior Design,Manager,8000+,270,9875.0,3.533333333333333
Architecture / Interior Design,Manager,<3000,37,2750.0,0.2702702702702703
Architecture / Interior Design,Mid Level,3000-4999,776,4250.0,0.8814432989690721
Architecture / Interior Design,Mid Level,5000-7999,600,5500.0,1.205
Architecture / Interior Design,Mid Level,8000+,31,9500.0,2.5806451612903225
Architecture / Interior Design,Mid Level,<3000,38,2650.0,1.0
Architecture / Interior Design,Senior,3000-4999,1226,4250.0,0.6721044045676998
Architecture / Interior Design,Senior,5000-7999,1224,6250.0,0.9714052287581699
Architecture / Interior Design,Senior,8000+,250,10000.0,2.996
Architecture / Interior Design,Senior,<3000,55,2900.0,0.2909090909090909
Banking and Finance,Entry Level,3000-4999,7394,4000.0,2.208412226129294
Banking and Finance,Entry Level,5000-7999,2805,7000.0,3.319073083778966
Banking and Finance,Entry Level,8000+,499,10500.0,6.480961923847695
Banking and Finance,Entry Level,<3000,1549,2500.0,1.9987088444157521
Banking and Finance,Junior,3000-4999,5849,4000.0,2.6532740639425545
Banking and Finance,Junior,5000-7999,3384,6000.0,4.8150118203309695
Banking and Finance,Junior,8000+,1372,11000.0,7.5830903790087465
Banking and Finance,Junior,<3000,734,2750.0,1.837874659400545
Banking and Finance,Manager,3000-4999,531,4500.0,1.472693032015066
Banking and Finance,Manager,5000-7999,2588,6500.0,3.297913446676971
Banking and Finance,Manager,8000+,5117,11750.0,5.52999804572992
Banking and Finance,Mid Level,3000-4999,274,4750.0,3.821167883211679
Banking and Finance,Mid Level,5000-7999,2107,7000.0,3.1813004271476033
Banking and Finance,Mid Level,8000+,2884,10500.0,4.4400138696255205
Banking and Finance,Senior,3000-4999,1321,4500.0,2.093868281604845
Banking and Finance,Senior,5000-7999,2616,6500.0,3.8069571865443423
Banking and Finance,Senior,8000+,5147,12000.0,5.287546143384496
Banking and Finance,Senior,<3000,65,2650.0,0.5692307692307692
Building and Construction,Entry Level,3000-4999,5373,3750.0,1.4182021217197096
Building and Construction,Entry Level,5000-7999,299,5500.0,3.3645484949832776
Building and Construction,Entry Level,8000+,30,10350.0,2.6
Building and Construction,Entry Level,<3000,3032,2550.0,1.2305408970976253
Building and Construction,Junior,3000-4999,23811,3850.0,1.6521775649909705
Building and Construction,Junior,5000-7999,2461,5550.0,1.891913856156034
Building and Construction,Junior,8000+,208,9500.0,2.668269230769231
Building and Construction,Junior,<3000,4808,2750.0,1.3429700499168054
Building and Construction,Manager,3000-4999,3616,4250.0,1.7571902654867257
Building and Construction,Manager,5000-7999,5540,6500.0,2.8736462093862816
Building and Construction,Manager,8000+,2737,9750.0,3.6138107416879794
Building and Construction,Manager,<3000,135,2750.0,1.4296296296296296
Building and Construction,Mid Level,3000-4999,6671,4000.0,1.2570828961175236
Building and Construction,Mid Level,5000-7999,2748,6000.0,1.9807132459970889
Building and Construction,Mid Level,8000+,362,9500.0,3.298342541436464
Building and Construction,Mid Level,<3000,634,2750.0,0.8785488958990536
Building and Construction,Senior,3000-4999,5272,4250.0,1.2158573596358118
Building and Construction,Senior,5000-7999,4301,6000.0,2.1448500348756103
Building and Construction,Senior,8000+,1544,10000.0,5.025906735751295
Building and Construction,Senior,<3000,244,2750.0,0.6024590163934426
Consulting,Entry Level,3000-4999,3313,3500.0,1.671898581346212
Consulting,Entry Level,5000-7999,657,6000.0,2.528158295281583
Consulting,Entry Level,8000+,89,10000.0,2.808988764044944
Consulting,Entry Level,<3000,1452,2697.0,1.2134986225895317
Consulting,Junior,3000-4999,3932,4000.0,1.8540183112919635
Consulting,Junior,5000-7999,1476,6000.0,3.4227642276422765
Consulting,Junior,8000+,280,9500.0,3.8214285714285716
Consulting,Junior,<3000,717,2750.0,1.3612273361227336
Consulting,Manager,3000-4999,1164,3800.0,0.781786941580756
Consulting,Manager,5000-7999,1326,6750.0,2.4743589743589745
Consulting,Manager,8000+,1972,11000.0,5.160750507099391
Consulting,Manager,<3000,46,2875.0,0.6086956521739131
Consulting,Mid Level,3000-4999,489,4250.0,1.0408997955010224
Consulting,Mid Level,5000-7999,975,6750.0,1.8964102564102565
Consulting,Mid Level,8000+,953,10000.0,3.8467995802728225
Consulting,Senior,3000-4999,1148,4500.0,1.2221254355400697
Consulting,Senior,5000-7999,1410,6975.0,2.4843971631205672
Consulting,Senior,8000+,2532,11500.0,4.485781990521327
Consulting,Senior,<3000,57,2800.0,0.9122807017543859
Customer Service,Entry Level,3000-4999,6024,3500.0,1.9721115537848606
Customer Service,Entry Level,5000-7999,299,5750.0,1.9431438127090301
Customer Service,Entry Level,8000+,31,9250.0,1.935483870967742
Customer Service,Entry Level,<3000,18912,2300.0,1.2367280033840948
Customer Service,Junior,3000-4999,11661,3650.0,1.7936712117314124
Customer Service,Junior,5000-7999,856,5750.0,1.9964953271028036
Customer Service,Junior,8000+,67,10750.0,2.4925373134328357
Customer Service,Junior,<3000,11704,2600.0,1.1514866712235132
Customer Service,Manager,3000-4999,3485,4000.0,1.9317073170731707
Customer Service,Manager,5000-7999,2091,6500.0,3.750358680057389
Customer Service,Manager,8000+,727,10000.0,5.642365887207703
Customer Service,Manager,<3000,442,2850.0,0.8981900452488688
Customer Service,Mid Level,3000-4999,1857,3900.0,1.0468497576736673
Customer Service,Mid Level,5000-7999,362,6500.0,3.110497237569061
Customer Service,Mid Level,8000+,97,10250.0,5.494845360824742
Customer Service,Mid Level,<3000,162,2565.0,1.3333333333333333
Customer Service,Senior,3000-4999,2853,3850.0,1.68664563617245
Customer Service,Senior,5000-7999,651,6250.0,3.531490015360983
Customer Service,Senior,8000+,409,10500.0,8.23960880195599
Customer Service,Senior,<3000,631,2800.0,1.0427892234548335
Design,Entry Level,3000-4999,690,3500.0,3.6652173913043478
Design,Entry Level,5000-7999,96,5500.0,5.052083333333333
Design,Entry Level,<3000,840,2600.0,2.5345238095238094
Design,Junior,3000-4999,2020,3750.0,3.519306930693069
Design,Junior,5000-7999,580,6000.0,3.35
Design,Junior,8000+,42,9625.0,3.8333333333333335
Design,Junior,<3000,873,2750.0,2.399770904925544
Design,Manager,3000-4999,170,4250.0,2.958823529411765
Design,Manager,5000-7999,314,6500.0,4.140127388535032
Design,Manager,8000+,204,10000.0,4.53921568627451
Design,Mid Level,3000-4999,220,4150.0,1.8227272727272728
Design,Mid Level,5000-7999,304,7000.0,2.7697368421052633
Design,Mid Level,8000+,108,10000.0,4.305555555555555
Design,Senior,3000-4999,555,4250.0,4.0
Design,Senior,5000-7999,570,6250.0,2.7842105263157895
Design,Senior,8000+,288,10250.0,4.472222222222222
Design,Senior,<3000,43,3000.0,2.9069767441860463
Education and Training,Entry Level,3000-4999,6620,3500.0,1.1090634441087612
Education and Training,Entry Level,5000-7999,369,5812.5,1.7235772357723578
Education and Training,Entry Level,8000+,232,11200.0,3.4094827586206895
Education and Training,Entry Level,<3000,8124,2300.0,1.3083456425406204
Education and Training,Junior,3000-4999,7056,3600.0,1.3280895691609977
Education and Training,Junior,5000-7999,1154,6000.0,2.6265164644714036
Education and Training,Junior,8000+,782,9362.5,2.5869565217391304
Education and Training,Junior,<3000,4702,2500.0,1.3600595491280307
Education and Training,Manager,3000-4999,887,4400.0,1.878241262683202
Education and Training,Manager,5000-7999,882,6000.0,3.2210884353741496
Education and Training,Manager,8000+,297,10000.0,3.3097643097643097
Education and Training,Manager,<3000,96,2700.0,2.7083333333333335
Education and Training,Mid Level,3000-4999,440,4150.0,2.7704545454545455
Education and Training,Mid Level,5000-7999,327,6000.0,2.801223241590214
Education and Training,Mid Level,8000+,301,9750.0,2.528239202657807
Education and Training,Mid Level,<3000,97,2400.0,2.2783505154639174
Education and Training,Senior,3000-4999,860,4250.0,1.8127906976744186
Education and Training,Senior,5000-7999,617,6000.0,1.8233387358184765
Education and Training,Senior,8000+,514,10500.0,4.554474708171206
Education and Training,Senior,<3000,140,2725.0,1.8428571428571427
Engineering,Entry Level,3000-4999,9045,3750.0,1.8589275843007187
Engineering,Entry Level,5000-7999,1873,6000.0,2.373198077949813
Engineering,Entry Level,8000+,198,10000.0,2.8585858585858586
Engineering,Entry Level,<3000,7709,2600.0,0.9904008301984694
Engineering,Junior,3000-4999,27117,3750.0,1.3380167422649998
Engineering,Junior,5000-7999,8061,6150.0,2.429227143034363
Engineering,Junior,8000+,769,9750.0,2.6970091027308194
Engineering,Junior,<3000,9033,2650.0,0.7501383814900919
Engineering,Manager,3000-4999,1588,4500.0,1.2399244332493702
Engineering,Manager,5000-7999,4580,6500.0,2.216375545851528
Engineering,Manager,8000+,2810,10000.0,3.9455516014234875
Engineering,Manager,<3000,61,2850.0,0.6229508196721312
Engineering,Mid Level,3000-4999,3795,4000.0,1.2450592885375493
Engineering,Mid Level,5000-7999,3246,6500.0,2.446395563770795
Engineering,Mid Level,8000+,1480,9500.0,2.683108108108108
Engineering,Mid Level,<3000,266,2750.0,0.7330827067669173
Engineering,Senior,3000-4999,5916,4350.0,1.5334685598377282
Engineering,Senior,5000-7999,8223,6250.0,1.4989663139973246
Engineering,Senior,8000+,3448,10500.0,3.2529002320185616
Engineering,Senior,<3000,227,2850.0,0.5330396475770925
Entertainment,Entry Level,3000-4999,142,4000.0,0.5211267605633803
Entertainment,Entry Level,5000-7999,22,6175.0,0.8181818181818182
Entertainment,Entry Level,<3000,116,2250.0,1.0689655172413792
Entertainment,Junior,3000-4999,492,4000.0,0.5020325203252033
Entertainment,Junior,5000-7999,80,6250.0,10.4
Entertainment,Junior,8000+,25,9000.0,0.36
Entertainment,Junior,<3000,258,3000.0,0.8527131782945736
Entertainment,Manager,3000-4999,237,4300.0,1.0337552742616034
Entertainment,Manager,5000-7999,83,7000.0,2.108433734939759
Entertainment,Manager,8000+,74,9750.0,2.824324324324324
Entertainment,Mid Level,3000-4999,52,4250.0,1.7115384615384615
Entertainment,Mid Level,8000+,24,10000.0,0.75
Entertainment,Senior,3000-4999,51,4000.0,1.0588235294117647
Entertainment,Senior,5000-7999,26,7000.0,3.3076923076923075
Entertainment,Senior,8000+,60,11000.0,6.95
Environment / Health,Entry Level,3000-4999,1010,3850.0,1.3722772277227724
Environment / Health,Entry Level,5000-7999,47,5650.0,2.106382978723404
Environment / Health,Entry Level,8000+,52,14500.0,0.057692307692307696
Environment / Health,Entry Level,<3000,1951,2097.5,1.0604818042029729
Environment / Health,Junior,3000-4999,2668,3500.0,1.2331334332833583
Environment / Health,Junior,5000-7999,507,5750.0,1.358974358974359
Environment / Health,Junior,8000+,141,9000.0,0.22695035460992907
Environment / Health,Junior,<3000,1246,2500.0,1.0569823434991974
Environment / Health,Manager,3000-4999,319,4500.0,1.9968652037617556
Environment / Health,Manager,5000-7999,448,6276.0,3.763392857142857
Environment / Health,Manager,8000+,165,10000.0,8.93939393939394
Environment / Health,Manager,<3000,21,2950.0,0.8571428571428571
Environment / Health,Mid Level,3000-4999,168,4250.0,2.0476190476190474
Environment / Health,Mid Level,5000-7999,107,6200.0,5.859813084112149
Environment / Health,Mid Level,8000+,45,10500.0,1.5333333333333334
Environment / Health,Mid Level,<3000,54,2150.0,2.259259259259259
Environment / Health,Senior,3000-4999,466,4500.0,1.3240343347639485
Environment / Health,Senior,5000-7999,274,5550.0,2.8394160583941606
Environment / Health,Senior,8000+,216,9500.0,4.592592592592593
Events / Promotions,Entry Level,3000-4999,465,3450.0,2.0387096774193547
Events / Promotions,Entry Level,5000-7999,22,6000.0,3.090909090909091
Events / Promotions,Entry Level,<3000,892,2750.0,1.1681614349775784
Events / Promotions,Junior,3000-4999,758,3500.0,2.8298153034300793
Events / Promotions,Junior,5000-7999,43,5500.0,2.604651162790698
Events / Promotions,Junior,<3000,604,2750.0,1.4933774834437086
Events / Promotions,Manager,3000-4999,509,4400.0,3.0275049115913557
Events / Promotions,Manager,5000-7999,307,6000.0,4.06514657980456
Events / Promotions,Manager,8000+,66,10075.0,4.803030303030303
Events / Promotions,Manager,<3000,26,2750.0,1.5
Events / Promotions,Mid Level,3000-4999,40,4075.0,3.35
Events / Promotions,Mid Level,5000-7999,49,6000.0,3.836734693877551
Events / Promotions,Senior,3000-4999,313,4000.0,3.6517571884984026
Events / Promotions,Senior,5000-7999,85,6000.0,3.988235294117647
Events / Promotions,Senior,8000+,88,10000.0,8.704545454545455
Events / Promotions,Senior,<3000,40,2900.0,2.175
F&B,Entry Level,3000-4999,4289,3400.0,0.5549079039403124
F&B,Entry Level,5000-7999,185,6000.0,0.8810810810810811
F&B,Entry Level,8000+,37,8750.0,0.7297297297297297
F&B,Entry Level,<3000,13021,2300.0,0.4172490592120421
F&B,Junior,3000-4999,9337,3650.0,0.5694548570204563
F&B,Junior,5000-7999,780,6325.0,1.405128205128205
F&B,Junior,8000+,197,8800.0,1.116751269035533
F&B,Junior,<3000,6281,2700.0,0.3744626651807037
F&B,Manager,3000-4999,6823,4000.0,1.0085006595339294
F&B,Manager,5000-7999,2321,6500.0,3.115898319689789
F&B,Manager,8000+,767,9250.0,3.707953063885267
F&B,Manager,<3000,726,2850.0,0.371900826446281
F&B,Mid Level,3000-4999,6952,4000.0,0.213463751438435
F&B,Mid Level,5000-7999,918,7250.0,1.2875816993464053
F&B,Mid Level,8000+,646,8400.0,1.4272445820433437
F&B,Mid Level,<3000,363,2900.0,0.2396694214876033
F&B,Senior,3000-4999,2954,3850.0,0.8527420446851727
F&B,Senior,5000-7999,1049,6500.0,2.9723546234509057
F&B,Senior,8000+,664,9800.0,6.740963855421687
F&B,Senior,<3000,377,2800.0,0.26790450928381965
General Management,Entry Level,3000-4999,2127,4000.0,0.7597555242125059
General Management,Entry Level,5000-7999,65,6000.0,2.276923076923077
General Management,Entry Level,<3000,623,2250.0,0.8170144462279294
General Management,Junior,3000-4999,1572,3750.0,1.3606870229007633
General Management,Junior,5000-7999,184,6000.0,4.3478260869565215
General Management,Junior,8000+,34,9375.0,4.676470588235294
General Management,Junior,<3000,990,2800.0,0.9313131313131313
General Management,Manager,3000-4999,1585,4000.0,1.9936908517350158
General Management,Manager,5000-7999,2020,6500.0,3.59009900990099
General Management,Manager,8000+,1173,9500.0,7.15004262574595
General Management,Manager,<3000,132,2750.0,1.2878787878787878
General Management,Mid Level,3000-4999,213,3800.0,1.4694835680751173
General Management,Mid Level,5000-7999,112,7000.0,3.9375
General Management,Mid Level,8000+,102,10500.0,4.607843137254902
General Management,Mid Level,<3000,22,2750.0,1.0909090909090908
General Management,Senior,3000-4999,669,4000.0,2.0732436472346785
General Management,Senior,5000-7999,433,6500.0,3.935334872979215
General Management,Senior,8000+,1487,12000.0,10.489576328177538
General Management,Senior,<3000,69,2750.0,0.9130434782608695
General Work,Entry Level,3000-4999,889,3500.0,1.96962879640045
General Work,Entry Level,<3000,6715,2000.0,0.8749069247952346
General Work,Junior,3000-4999,1097,3750.0,1.5815861440291705
General Work,Junior,5000-7999,54,5500.0,3.1666666666666665
General Work,Junior,<3000,2381,2250.0,0.7958840823183536
General Work,Manager,3000-4999,146,4000.0,1.7328767123287672
General Work,Manager,5000-7999,125,7250.0,4.848
General Work,Manager,8000+,91,8250.0,5.637362637362638
General Work,Mid Level,3000-4999,1731,4000.0,0.30098209127671866
General Work,Mid Level,5000-7999,266,7750.0,2.0413533834586466
General Work,Mid Level,8000+,181,8500.0,3.585635359116022
General Work,Mid Level,<3000,76,2450.0,1.118421052631579
General Work,Senior,3000-4999,169,3800.0,1.970414201183432
General Work,Senior,<3000,88,2500.0,1.1363636363636365
Healthcare / Pharmaceutical,Entry Level,3000-4999,5027,3850.0,1.3264372389098866
Healthcare / Pharmaceutical,Entry Level,5000-7999,553,5500.0,1.1844484629294756
Healthcare / Pharmaceutical,Entry Level,8000+,225,12033.5,0.38222222222222224
Healthcare / Pharmaceutical,Entry Level,<3000,6898,2300.0,1.9578138590895913
Healthcare / Pharmaceutical,Junior,3000-4999,7466,3900.0,1.622823466380927
Healthcare / Pharmaceutical,Junior,5000-7999,1169,5800.0,2.0059880239520957
Healthcare / Pharmaceutical,Junior,8000+,533,12500.0,0.6960600375234521
Healthcare / Pharmaceutical,Junior,<3000,3746,2500.0,1.2797650827549385
Healthcare / Pharmaceutical,Manager,3000-4999,641,4300.0,2.3525741029641187
Healthcare / Pharmaceutical,Manager,5000-7999,1274,6270.0,2.6773940345368916
Healthcare / Pharmaceutical,Manager,8000+,611,11500.0,3.944353518821604
Healthcare / Pharmaceutical,Manager,<3000,22,2775.0,1.0
Healthcare / Pharmaceutical,Mid Level,3000-4999,603,4000.0,1.5953565505804312
Healthcare / Pharmaceutical,Mid Level,5000-7999,575,6500.0,1.222608695652174
Healthcare / Pharmaceutical,Mid Level,8000+,270,12000.0,1.488888888888889
Healthcare / Pharmaceutical,Mid Level,<3000,132,2400.0,0.9772727272727273
Healthcare / Pharmaceutical,Senior,3000-4999,1361,4300.0,1.283614988978692
Healthcare / Pharmaceutical,Senior,5000-7999,913,6000.0,1.7053669222343921
Healthcare / Pharmaceutical,Senior,8000+,497,12500.0,4.0603621730382295
Healthcare / Pharmaceutical,Senior,<3000,83,2750.0,1.216867469879518
Hospitality,Entry Level,3000-4999,195,3300.0,1.8871794871794871
Hospitality,Entry Level,5000-7999,21,6000.0,2.3333333333333335
Hospitality,Entry Level,<3000,2028,2150.0,0.8500986193293886
Hospitality,Junior,3000-4999,438,3400.0,2.872146118721461
Hospitality,Junior,5000-7999,28,5875.0,8.678571428571429
Hospitality,Junior,<3000,1136,2550.0,1.261443661971831
Hospitality,Manager,3000-4999,852,4000.0,2.8791079812206575
Hospitality,Manager,5000-7999,535,6000.0,4.224299065420561
Hospitality,Manager,8000+,113,9550.0,15.0
Hospitality,Manager,<3000,51,2900.0,1.0392156862745099
Hospitality,Mid Level,3000-4999,145,3500.0,1.2344827586206897
Hospitality,Mid Level,5000-7999,25,6250.0,2.28
Hospitality,Mid Level,<3000,44,2582.5,0.9772727272727273
Hospitality,Senior,3000-4999,382,3750.0,2.005235602094241
Hospitality,Senior,5000-7999,113,7250.0,5.486725663716814
Hospitality,Senior,8000+,105,11500.0,10.904761904761905
Hospitality,Senior,<3000,91,2775.0,0.8131868131868132
Human Resources,Entry Level,3000-4999,2153,3600.0,2.307013469577334
Human Resources,Entry Level,5000-7999,61,5500.0,3.0163934426229506
Human Resources,Entry Level,<3000,2305,2650.0,1.6073752711496747
Human Resources,Junior,3000-4999,5918,3500.0,2.926326461642447
Human Resources,Junior,5000-7999,541,6100.0,3.4473197781885396
Human Resources,Junior,8000+,45,9500.0,6.666666666666667
Human Resources,Junior,<3000,2464,2750.0,1.9825487012987013
Human Resources,Manager,3000-4999,907,4500.0,4.137816979051819
Human Resources,Manager,5000-7999,2394,6500.0,5.148705096073517
Human Resources,Manager,8000+,829,10000.0,11.466827503015681
Human Resources,Manager,<3000,40,2750.0,2.025
Human Resources,Mid Level,3000-4999,505,4000.0,4.0
Human Resources,Mid Level,5000-7999,359,6000.0,4.958217270194986
Human Resources,Mid Level,8000+,103,10750.0,17.83495145631068
Human Resources,Mid Level,<3000,51,2850.0,2.4901960784313726
Human Resources,Senior,3000-4999,2357,4250.0,2.9261773440814594
Human Resources,Senior,5000-7999,1014,6000.0,3.9773175542406314
Human Resources,Senior,8000+,598,11500.0,9.494983277591974
Human Resources,Senior,<3000,80,2750.0,1.7625
Information Technology,Entry Level,3000-4999,4000,4000.0,4.2965
Information Technology,Entry Level,5000-7999,1790,6000.0,4.695530726256983
Information Technology,Entry Level,8000+,925,9750.0,3.1394594594594594
Information Technology,Entry Level,<3000,3391,2500.0,2.198761427307579
Information Technology,Junior,3000-4999,13217,4100.0,2.1321025951426194
Information Technology,Junior,5000-7999,12473,6250.0,2.5866271145674657
Information Technology,Junior,8000+,3752,9750.0,2.353678038379531
Information Technology,Junior,<3000,2732,2750.0,1.6043191800878478
Information Technology,Manager,3000-4999,816,4400.0,1.8553921568627452
Information Technology,Manager,5000-7999,4802,6850.0,2.6007913369429403
Information Technology,Manager,8000+,6698,10000.0,4.512093162137951
Information Technology,Manager,<3000,24,2750.0,0.7916666666666666
Information Technology,Mid Level,3000-4999,1605,4500.0,1.5993769470404984
Information Technology,Mid Level,5000-7999,10062,7000.0,1.4578612601868415
Information Technology,Mid Level,8000+,9617,9500.0,2.0924404700010397
Information Technology,Mid Level,<3000,70,2850.0,1.0857142857142856
Information Technology,Senior,3000-4999,2710,4500.0,1.7398523985239853
Information Technology,Senior,5000-7999,8940,6750.0,1.7420581655480984
Information Technology,Senior,8000+,11901,10000.0,2.684564322325855
Information Technology,Senior,<3000,127,2900.0,0.9212598425196851
Insurance,Entry Level,3000-4999,385,3750.0,1.5064935064935066
Insurance,Entry Level,5000-7999,311,6500.0,0.9453376205787781
Insurance,Entry Level,8000+,22,11000.0,0.6363636363636364
Insurance,Entry Level,<3000,129,2950.0,1.1705426356589148
Insurance,Junior,3000-4999,591,4000.0,1.4467005076142132
Insurance,Junior,5000-7999,142,6000.0,2.1901408450704225
Insurance,Junior,8000+,26,9000.0,2.8846153846153846
Insurance,Junior,<3000,154,2950.0,1.0584415584415585
Insurance,Manager,3000-4999,33,4700.0,2.3333333333333335
Insurance,Manager,5000-7999,292,6500.0,2.6198630136986303
Insurance,Manager,8000+,271,11500.0,3.243542435424354
Insurance,Mid Level,5000-7999,114,6550.0,1.1929824561403508
Insurance,Mid Level,8000+,120,10500.0,2.0833333333333335
Insurance,Senior,3000-4999,220,4750.0,1.1090909090909091
Insurance,Senior,5000-7999,179,6000.0,1.1731843575418994
Insurance,Senior,8000+,200,12500.0,3.22
Legal,Entry Level,3000-4999,201,4050.0,2.611940298507463
Legal,Entry Level,5000-7999,191,6500.0,1.4659685863874345
Legal,Entry Level,8000+,110,9250.0,1.1454545454545455
Legal,Entry Level,<3000,134,2500.0,2.58955223880597
Legal,Junior,3000-4999,448,4250.0,2.189732142857143
Legal,Junior,5000-7999,404,6200.0,1.9678217821782178
Legal,Junior,8000+,222,11375.0,1.7612612612612613
Legal,Junior,<3000,97,2850.0,1.288659793814433
Legal,Manager,3000-4999,32,4250.0,1.21875
Legal,Manager,5000-7999,141,7000.0,2.0851063829787235
Legal,Manager,8000+,381,12000.0,4.0
Legal,Mid Level,3000-4999,23,4500.0,1.0434782608695652
Legal,Mid Level,5000-7999,125,6350.0,1.12
Legal,Mid Level,8000+,336,12500.0,2.7916666666666665
Legal,Senior,3000-4999,40,4400.0,1.525
Legal,Senior,5000-7999,140,6500.0,2.7857142857142856
Legal,Senior,8000+,387,12500.0,3.462532299741602
Logistics / Supply Chain,Entry Level,3000-4999,3332,3600.0,2.4648859543817525
Logistics / Supply Chain,Entry Level,5000-7999,124,5750.0,6.862903225806452
