posting_month,primary_category,postings,total_vacancies,median_salary,avg_applications
2023-05,Human Resources,1718,2538,3800.0,18.647846332945285
2023-05,Information Technology,7474,17205,6650.0,11.877709392560877
2023-05,Insurance,218,459,5000.0,8.293577981651376
2023-05,Legal,270,368,6500.0,10.466666666666667
2023-05,Logistics / Supply Chain,2835,5760,3300.0,12.473015873015873
2023-05,Manufacturing,1142,2471,3205.0,7.469352014010508
2023-05,Marketing / Public Relations,1699,2439,4000.0,15.456150676868747
2023-05,Medical / Therapy Services,290,846,4000.0,5.803448275862069
2023-05,Others,1783,6060,3750.0,12.634324172742568
2023-05,Personal Care / Beauty,702,2750,4000.0,1.4259259259259258
2023-05,Precision Engineering,41,69,3400.0,6.463414634146342
2023-05,Professional Services,234,516,3900.0,13.602564102564102
2023-05,Public / Civil Service,40,294,4500.0,17.525
2023-05,Purchasing / Merchandising,387,561,3250.0,12.782945736434108
2023-05,Real Estate / Property Management,280,538,3750.0,18.317857142857143
2023-05,Repair and Maintenance,352,817,2750.0,6.238636363636363
2023-05,Risk Management,75,94,7000.0,18.893333333333334
2023-05,Sales / Retail,2479,6159,3400.0,6.058087938684953
2023-05,Sciences / Laboratory / R&D,793,1249,4500.0,9.040353089533417
2023-05,Security and Investigation,243,3177,2600.0,10.0
2023-05,Social Services,174,300,3550.0,33.95977011494253
2023-05,Telecommunications,81,435,3750.0,8.753086419753087
2023-05,Travel / Tourism,74,258,3200.0,20.527027027027028
2023-05,Wholesale Trade,172,260,3750.0,17.726744186046513
2023-06,Accounting / Auditing / Taxation,6216,13411,3600.0,8.921010296010296
2023-06,Admin / Secretarial,7308,13978,2750.0,11.765873015873016
2023-06,Advertising / Media,1357,2393,3500.0,12.854089904200443
2023-06,Architecture / Interior Design,1302,2710,4000.0,3.996927803379416
2023-06,Banking and Finance,3778,8215,6250.0,13.657490735839069
2023-06,Building and Construction,6135,13867,4000.0,7.192176039119804
2023-06,Consulting,1994,7553,4750.0,8.369608826479439
2023-06,Customer Service,5334,18932,3000.0,6.22928383952006
2023-06,Design,726,1299,4000.0,13.778236914600551
2023-06,Education and Training,2747,9821,3250.0,6.682198762286131
2023-06,Engineering,8622,16547,4350.0,5.893296218974716
2023-06,Entertainment,142,459,3800.0,7.161971830985915
2023-06,Environment / Health,832,3680,3400.0,5.721153846153846
2023-06,Events / Promotions,352,639,3500.0,11.488636363636363
2023-06,F&B,4944,20191,3400.0,2.9997977346278315
2023-06,General Management,1500,5521,4000.0,9.650666666666666
2023-06,General Work,1090,3020,2350.0,4.665137614678899
2023-06,Healthcare / Pharmaceutical,2842,14877,3700.0,6.630893736805067
2023-06,Hospitality,569,1254,2880.0,8.878734622144112
2023-06,Human Resources,1885,3111,3850.0,12.884880636604775
2023-06,Information Technology,7943,18700,6750.0,8.955432456250787
2023-06,Insurance,282,648,5000.0,5.975177304964539
2023-06,Legal,309,434,7500.0,9.653721682847896
2023-06,Logistics / Supply Chain,3314,7043,3250.0,7.854254677127338
2023-06,Manufacturing,1496,3410,3500.0,5.376336898395722
2023-06,Marketing / Public Relations,1750,2670,4000.0,12.004
2023-06,Medical / Therapy Services,337,836,3972.5,3.400593471810089
2023-06,Others,2417,9036,3850.0,7.450144807612743
2023-06,Personal Care / Beauty,854,3079,4000.0,0.7540983606557377
2023-06,Precision Engineering,102,186,3550.0,2.607843137254902
2023-06,Professional Services,310,677,4000.0,7.780645161290322
2023-06,Public / Civil Service,64,205,4412.5,10.53125
2023-06,Purchasing / Merchandising,371,504,3250.0,9.735849056603774
2023-06,Real Estate / Property Management,330,708,4000.0,12.627272727272727
2023-06,Repair and Maintenance,505,1313,2750.0,3.9267326732673267
2023-06,Risk Management,87,151,7000.0,15.413793103448276
2023-06,Sales / Retail,2856,7409,3500.0,4.714635854341736
2023-06,Sciences / Laboratory / R&D,681,965,4750.0,6.879588839941263
2023-06,Security and Investigation,158,1530,2700.0,12.962025316455696
2023-06,Social Services,242,405,3645.0,24.305785123966942
2023-06,Telecommunications,82,427,3373.0,3.5
2023-06,Travel / Tourism,72,192,3229.25,13.01388888888889
2023-06,Wholesale Trade,275,509,4000.0,9.596363636363636
2023-07,Accounting / Auditing / Taxation,6558,14342,3500.0,0.794449527294907
2023-07,Admin / Secretarial,8086,14711,2800.0,0.8347761563195647
2023-07,Advertising / Media,1283,2096,3600.0,1.3250194855806703
2023-07,Architecture / Interior Design,1255,2562,4000.0,0.3195219123505976
2023-07,Banking and Finance,4077,9049,6000.0,1.1775815550649988
2023-07,Building and Construction,6012,12415,4000.0,0.45758483033932135
2023-07,Consulting,1995,8010,5250.0,0.6340852130325815
2023-07,Customer Service,5178,17917,3100.0,0.4687137891077636
2023-07,Design,724,1210,4250.0,0.6975138121546961
2023-07,Education and Training,2605,8462,3250.0,0.5309021113243761
2023-07,Engineering,8157,15124,4450.0,0.6427608189285277
2023-07,Entertainment,154,397,4050.0,0.4805194805194805
2023-07,Environment / Health,1009,4558,3450.0,0.34390485629335976
2023-07,Events / Promotions,313,466,3300.0,0.5111821086261981
2023-07,F&B,4848,17442,3375.0,0.24051155115511552
2023-07,General Management,1086,2167,5000.0,1.152854511970534
2023-07,General Work,1077,3292,2500.0,0.40668523676880225
2023-07,Healthcare / Pharmaceutical,2527,11197,3650.0,0.4990106846062525
2023-07,Hospitality,639,1635,2800.0,0.6541471048513302
2023-07,Human Resources,1929,3112,4000.0,0.928978745463971
2023-07,Information Technology,8359,22184,7000.0,0.6631175977987798
2023-07,Insurance,266,490,5500.0,0.6165413533834586
2023-07,Legal,273,364,7050.0,0.6117216117216118
2023-07,Logistics / Supply Chain,3573,6983,3250.0,0.6084522809963616
2023-07,Manufacturing,1320,3088,3350.0,0.7015151515151515
2023-07,Marketing / Public Relations,1913,2751,4000.0,0.9231573444851019
2023-07,Medical / Therapy Services,304,853,4000.0,0.07894736842105263
2023-07,Others,1937,4866,3800.0,0.5508518327310273
2023-07,Personal Care / Beauty,769,2923,4000.0,0.08062418725617686
2023-07,Precision Engineering,75,119,3700.0,0.14666666666666667
2023-07,Professional Services,259,756,4000.0,0.9498069498069498
2023-07,Public / Civil Service,55,99,4775.0,0.34545454545454546
2023-07,Purchasing / Merchandising,475,685,3500.0,0.9073684210526316
2023-07,Real Estate / Property Management,380,677,3875.0,0.8078947368421052
2023-07,Repair and Maintenance,509,1292,2750.0,0.3693516699410609
2023-07,Risk Management,76,98,7375.0,1.1710526315789473
2023-07,Sales / Retail,3047,8499,3500.0,0.38267148014440433
2023-07,Sciences / Laboratory / R&D,782,1156,4750.0,0.7289002557544757
2023-07,Security and Investigation,242,3384,2650.0,0.7355371900826446
2023-07,Social Services,255,390,3500.0,1.588235294117647
2023-07,Telecommunications,86,242,4050.0,1.0348837209302326
2023-07,Travel / Tourism,75,235,3000.0,2.466666666666667
2023-07,Wholesale Trade,223,380,3850.0,0.6905829596412556
2023-08,Accounting / Auditing / Taxation,6393,13408,3550.0,0.4917878930079775
2023-08,Admin / Secretarial,8408,24794,2850.0,0.48560894386298764
2023-08,Advertising / Media,1280,2189,3500.0,0.53125
2023-08,Architecture / Interior Design,1107,2156,4000.0,0.18699186991869918
2023-08,Banking and Finance,4107,9510,6250.0,0.586072559045532
2023-08,Building and Construction,5977,12467,4000.0,0.3541910657520495
2023-08,Consulting,2094,8500,5000.0,1.0033428844317096
2023-08,Customer Service,5335,22898,3100.0,0.28753514526710405
2023-08,Design,655,1174,4000.0,0.549618320610687
2023-08,Education and Training,2763,10016,3250.0,0.170104958378574
2023-08,Engineering,8378,15233,4250.0,0.33408928145142036
2023-08,Entertainment,151,1426,4000.0,0.152317880794702
2023-08,Environment / Health,898,4002,3525.0,0.5100222717149221
2023-08,Events / Promotions,315,1054,3400.0,0.28888888888888886
2023-08,F&B,4503,19010,3300.0,0.16055962691538975
2023-08,General Management,1097,3555,5400.0,0.4822242479489517
2023-08,General Work,1096,5088,2350.0,0.18156934306569342
2023-08,Healthcare / Pharmaceutical,2461,11949,3750.0,0.24542868752539618
2023-08,Hospitality,584,1496,3000.0,0.5787671232876712
2023-08,Human Resources,1929,3036,3750.0,0.5660964230171073
2023-08,Information Technology,8232,19075,6750.0,0.4036686103012634
2023-08,Insurance,249,659,5500.0,0.4859437751004016
2023-08,Legal,271,334,7250.0,0.7675276752767528
2023-08,Logistics / Supply Chain,3565,9236,3200.0,0.32398316970546986
2023-08,Manufacturing,1182,2519,3250.0,0.22165820642978004
2023-08,Marketing / Public Relations,1978,2810,3925.0,0.4590495449949444
2023-08,Medical / Therapy Services,378,1229,4000.0,0.29894179894179895
2023-08,Others,1677,3944,3800.0,0.4120453190220632
2023-08,Personal Care / Beauty,858,3522,4000.0,0.039627039627039624
2023-08,Precision Engineering,66,93,5500.0,0.18181818181818182
2023-08,Professional Services,269,784,4250.0,0.4275092936802974
2023-08,Public / Civil Service,51,78,4650.0,0.7647058823529411
2023-08,Purchasing / Merchandising,431,632,3300.0,0.27610208816705334
2023-08,Real Estate / Property Management,425,745,4500.0,0.37176470588235294
2023-08,Repair and Maintenance,528,1246,2750.0,0.32954545454545453
2023-08,Risk Management,81,101,6750.0,0.5555555555555556
2023-08,Sales / Retail,2924,8143,3500.0,0.21819425444596444
2023-08,Sciences / Laboratory / R&D,742,1078,4950.0,0.35444743935309975
2023-08,Security and Investigation,227,2738,2700.0,0.09691629955947137
2023-08,Social Services,264,509,3661.25,0.3106060606060606
2023-08,Telecommunications,73,214,5250.0,0.2328767123287671
2023-08,Travel / Tourism,81,557,3000.0,0.8148148148148148
2023-08,Wholesale Trade,197,345,3900.0,0.5482233502538071
2023-09,Accounting / Auditing / Taxation,5506,11044,3500.0,0.3939338903014893
2023-09,Admin / Secretarial,7340,19061,2850.0,0.3294277929155313
2023-09,Advertising / Media,1197,2029,3500.0,0.3492063492063492
2023-09,Architecture / Interior Design,1087,2030,4000.0,0.16835326586936522
2023-09,Banking and Finance,3451,7373,6000.0,0.4960880904085772
2023-09,Building and Construction,5023,10306,4100.0,0.19749153892096358
2023-09,Consulting,1688,6548,5000.0,0.3542654028436019
2023-09,Customer Service,4556,16468,3000.5,0.21312554872695347
2023-09,Design,590,990,4250.0,0.29491525423728815
2023-09,Education and Training,2576,8031,3300.0,0.1529503105590062
2023-09,Engineering,7539,13550,4250.0,0.21063801565194323
2023-09,Entertainment,148,436,4000.0,0.22297297297297297
2023-09,Environment / Health,911,3530,3650.0,0.1668496158068057
2023-09,Events / Promotions,303,868,3250.0,0.48514851485148514
2023-09,F&B,4310,20161,3600.0,0.11415313225058005
2023-09,General Management,987,3135,4750.0,0.3698074974670719
2023-09,General Work,989,3167,2500.0,0.12133468149646107
2023-09,Healthcare / Pharmaceutical,2244,13910,3750.0,0.15998217468805703
2023-09,Hospitality,460,1247,3100.0,0.23043478260869565
2023-09,Human Resources,1794,2902,3875.0,0.3779264214046823
2023-09,Information Technology,7950,19255,7000.0,0.3080503144654088
2023-09,Insurance,213,617,5500.0,0.3474178403755869
2023-09,Legal,265,326,7230.0,0.2943396226415094
2023-09,Logistics / Supply Chain,3283,6385,3250.0,0.2074322266219921
2023-09,Manufacturing,1289,2716,3550.0,0.20403413498836306
2023-09,Marketing / Public Relations,1794,2577,3850.0,0.33054626532887404
2023-09,Medical / Therapy Services,335,1845,4000.0,0.05373134328358209
2023-09,Others,1630,4352,4000.0,0.2687116564417178
2023-09,Personal Care / Beauty,706,2509,4000.0,0.0453257790368272
2023-09,Precision Engineering,57,114,4000.0,0.14035087719298245
2023-09,Professional Services,339,821,4250.0,0.1976401179941003
2023-09,Public / Civil Service,38,84,4500.0,0.3684210526315789
2023-09,Purchasing / Merchandising,388,647,3500.0,0.47680412371134023
2023-09,Real Estate / Property Management,385,714,4250.0,0.2571428571428571
2023-09,Repair and Maintenance,500,1182,2750.0,0.146
2023-09,Risk Management,81,101,6500.0,0.6172839506172839
2023-09,Sales / Retail,2663,6424,3500.0,0.1708599324070597
2023-09,Sciences / Laboratory / R&D,664,864,4750.0,0.20933734939759036
2023-09,Security and Investigation,224,1970,2675.0,0.11160714285714286
2023-09,Social Services,235,741,3500.0,0.5361702127659574
2023-09,Telecommunications,48,180,4875.0,0.3541666666666667
2023-09,Travel / Tourism,81,206,3150.0,0.24691358024691357
2023-09,Wholesale Trade,157,367,4000.0,0.3885350318471338
2023-10,Accounting / Auditing / Taxation,5997,13164,3600.0,1.0528597632149408
2023-10,Admin / Secretarial,8072,17088,2850.0,0.8136769078295342
2023-10,Advertising / Media,1197,2023,3700.0,0.8237259816207184
2023-10,Architecture / Interior Design,1118,2131,4000.0,0.3434704830053667
2023-10,Banking and Finance,3810,11440,5600.0,1.110498687664042
2023-10,Building and Construction,5181,10761,4100.0,0.5400501833622853
2023-10,Consulting,2038,7859,5000.0,0.7566241413150148
2023-10,Customer Service,4854,18692,3000.0,0.5587144622991347
2023-10,Design,543,825,3750.0,1.2615101289134438
2023-10,Education and Training,3003,10901,3300.0,0.366966366966367
2023-10,Engineering,7128,12583,4250.0,0.5834736251402918
2023-10,Entertainment,119,404,4050.0,0.2773109243697479
2023-10,Environment / Health,865,4158,3500.0,0.43121387283236995
2023-10,Events / Promotions,330,826,3500.0,0.5515151515151515
2023-10,F&B,4306,18871,3500.0,0.24941941477008825
2023-10,General Management,1278,3908,4000.0,0.9295774647887324
2023-10,General Work,1038,3849,2450.0,0.6435452793834296
2023-10,Healthcare / Pharmaceutical,2351,13603,3750.0,0.3245427477669077
2023-10,Hospitality,356,809,2750.0,0.5056179775280899
2023-10,Human Resources,1796,2928,3850.0,1.284521158129176
2023-10,Information Technology,7451,17105,6850.0,0.8722319151791705
2023-10,Insurance,227,442,5500.0,0.6696035242290749
2023-10,Legal,255,325,6500.0,0.7176470588235294
2023-10,Logistics / Supply Chain,3388,6890,3250.0,0.6502361275088547
2023-10,Manufacturing,1211,2738,3625.0,0.47068538398018167
2023-10,Marketing / Public Relations,1736,2578,4150.0,0.869815668202765
2023-10,Medical / Therapy Services,360,904,4000.0,0.19166666666666668
2023-10,Others,2059,6578,3900.0,0.6410879067508499
2023-10,Personal Care / Beauty,722,2559,4000.0,0.06509695290858726
2023-10,Precision Engineering,46,57,3525.0,0.15217391304347827
2023-10,Professional Services,275,865,4150.0,1.690909090909091
2023-10,Public / Civil Service,43,140,3650.0,0.8837209302325582
2023-10,Purchasing / Merchandising,363,542,3500.0,0.7741046831955923
2023-10,Real Estate / Property Management,269,505,4050.0,1.2156133828996283
2023-10,Repair and Maintenance,584,1520,2750.0,0.2568493150684932
2023-10,Risk Management,89,124,7000.0,1.4157303370786516
2023-10,Sales / Retail,2956,8139,3500.0,0.42050067658998647
2023-10,Sciences / Laboratory / R&D,787,1039,4500.0,0.5120711562897078
2023-10,Security and Investigation,189,2341,2675.0,0.4708994708994709
2023-10,Social Services,295,1079,3400.0,1.0271186440677966
2023-10,Telecommunications,74,161,4250.0,0.5540540540540541
2023-10,Travel / Tourism,70,178,3157.25,0.8
2023-10,Wholesale Trade,171,314,4000.0,0.5906432748538012
2023-11,Accounting / Auditing / Taxation,5414,12477,3650.0,0.3199113409678611
2023-11,Admin / Secretarial,7212,16837,2787.5,0.22518025513033832
2023-11,Advertising / Media,1229,2175,3600.0,0.26688364524003255
2023-11,Architecture / Interior Design,1035,1951,4050.0,0.10434782608695652
2023-11,Banking and Finance,3316,7923,6000.0,0.44963811821471655
2023-11,Building and Construction,4732,10380,4100.0,0.1834319526627219
2023-11,Consulting,1858,8732,5000.0,0.3008611410118407
2023-11,Customer Service,4399,16283,3000.0,0.15594453284837462
2023-11,Design,549,854,4000.0,0.40619307832422585
2023-11,Education and Training,2760,25998,3250.0,0.11811594202898551
2023-11,Engineering,6547,11696,4250.0,0.2414846494577669
2023-11,Entertainment,125,459,4250.0,0.12
2023-11,Environment / Health,711,2523,3500.0,0.1350210970464135
2023-11,Events / Promotions,374,718,3250.0,0.24064171122994651
2023-11,F&B,3605,14607,3400.0,0.07961165048543689
2023-11,General Management,780,1835,5000.0,0.4461538461538462
2023-11,General Work,937,3211,2400.0,0.07150480256136606
2023-11,Healthcare / Pharmaceutical,2392,13164,3740.0,0.10702341137123746
2023-11,Hospitality,423,1410,3050.0,0.23167848699763594
2023-11,Human Resources,1594,2737,3900.0,0.3682559598494354
2023-11,Information Technology,7098,16364,7000.0,0.3236122851507467
2023-11,Insurance,212,762,5500.0,0.32547169811320753
2023-11,Legal,234,314,8000.0,0.2777777777777778
2023-11,Logistics / Supply Chain,3121,6435,3300.0,0.1893623838513297
2023-11,Manufacturing,934,2119,3175.0,0.1980728051391863
2023-11,Marketing / Public Relations,1524,2404,4150.0,0.32677165354330706
2023-11,Medical / Therapy Services,297,881,4000.0,0.026936026936026935
2023-11,Others,1466,3596,4000.0,0.24488403819918145
2023-11,Personal Care / Beauty,719,2744,4000.0,0.025034770514603615
2023-11,Precision Engineering,46,74,3250.0,0.06521739130434782
2023-11,Professional Services,273,590,4250.0,0.19413919413919414
2023-11,Public / Civil Service,28,54,3750.0,0.25
2023-11,Purchasing / Merchandising,351,562,3500.0,0.2962962962962963
2023-11,Real Estate / Property Management,285,513,4000.0,0.37894736842105264
2023-11,Repair and Maintenance,569,1821,2750.0,0.1195079086115993
2023-11,Risk Management,78,117,6500.0,0.5769230769230769
2023-11,Sales / Retail,2704,7620,3500.0,0.13868343195266272
2023-11,Sciences / Laboratory / R&D,714,923,4775.0,0.14425770308123248
2023-11,Security and Investigation,185,2220,2675.0,0.10810810810810811
2023-11,Social Services,299,456,3750.0,0.3110367892976589
2023-11,Telecommunications,65,127,4800.0,0.3230769230769231
2023-11,Travel / Tourism,82,242,3000.0,0.18292682926829268
2023-11,Wholesale Trade,191,326,4000.0,0.35602094240837695
2023-12,Accounting / Auditing / Taxation,4420,10888,3600.0,0.33076923076923076
2023-12,Admin / Secretarial,5993,13071,2850.0,0.2591356582679793
2023-12,Advertising / Media,990,2009,3500.0,0.2919191919191919
2023-12,Architecture / Interior Design,806,1549,4250.0,0.08312655086848635
2023-12,Banking and Finance,2331,4887,6250.0,0.46803946803946805
2023-12,Building and Construction,4380,9027,4150.0,0.16940639269406393
2023-12,Consulting,1380,6669,4500.0,0.28695652173913044
2023-12,Customer Service,3750,13008,3050.0,0.18106666666666665
2023-12,Design,480,898,3775.0,0.23958333333333334
2023-12,Education and Training,2137,11718,3400.0,0.11979410388394947
2023-12,Engineering,5549,10846,4100.0,0.2043611461524599
2023-12,Entertainment,87,296,4250.0,0.11494252873563218
2023-12,Environment / Health,443,2682,3350.0,0.17607223476297967
2023-12,Events / Promotions,215,570,3500.0,0.3116279069767442
2023-12,F&B,3831,15474,3650.0,0.07413208039676325
2023-12,General Management,766,2412,4775.0,0.3563968668407311
2023-12,General Work,978,3187,2800.0,0.10429447852760736
2023-12,Healthcare / Pharmaceutical,2134,10601,3750.0,0.13261480787253982
2023-12,Hospitality,343,774,3050.0,0.22448979591836735
2023-12,Human Resources,1302,2151,3850.0,0.38325652841781876
2023-12,Information Technology,5373,12269,6750.0,0.2964824120603015
2023-12,Insurance,155,413,5000.0,0.3161290322580645
2023-12,Legal,211,271,8500.0,0.22748815165876776
2023-12,Logistics / Supply Chain,2691,6462,3400.0,0.20884429580081754
2023-12,Manufacturing,981,2369,3500.0,0.16819571865443425
2023-12,Marketing / Public Relations,1385,2241,4250.0,0.3104693140794224
2023-12,Medical / Therapy Services,250,673,4250.0,0.084
2023-12,Others,1254,2659,4000.0,0.24401913875598086
2023-12,Personal Care / Beauty,703,2399,4000.0,0.034139402560455195
2023-12,Precision Engineering,37,58,3650.0,0.1891891891891892
2023-12,Professional Services,193,465,4250.0,0.24870466321243523
2023-12,Public / Civil Service,31,83,4075.0,0.22580645161290322
2023-12,Purchasing / Merchandising,252,376,3250.0,0.23809523809523808
2023-12,Real Estate / Property Management,223,455,3850.0,0.36771300448430494
2023-12,Repair and Maintenance,457,1195,2750.0,0.09409190371991247
2023-12,Risk Management,60,115,6500.0,0.43333333333333335
2023-12,Sales / Retail,2325,6389,3650.0,0.14537634408602151
2023-12,Sciences / Laboratory / R&D,595,816,5000.0,0.19327731092436976
2023-12,Security and Investigation,125,2036,2800.0,0.12
2023-12,Social Services,242,446,3750.0,0.2396694214876033
2023-12,Telecommunications,57,108,7500.0,0.42105263157894735
2023-12,Travel / Tourism,61,162,3500.0,0.39344262295081966
2023-12,Wholesale Trade,163,273,4000.0,0.25153374233128833
2024-01,Accounting / Auditing / Taxation,6085,12822,3700.0,0.38783894823336074
2024-01,Admin / Secretarial,7862,18430,2850.0,0.3486390231493259
2024-01,Advertising / Media,1238,2239,3650.0,0.37318255250403876
2024-01,Architecture / Interior Design,1011,2135,4250.0,0.18001978239366964
2024-01,Banking and Finance,3262,6980,6500.0,0.5119558553034947
2024-01,Building and Construction,5187,11497,4150.0,0.21245421245421245
2024-01,Consulting,1866,7222,5050.0,0.3536977491961415
2024-01,Customer Service,5329,23255,3000.0,0.19103021204728843
2024-01,Design,636,1185,4000.0,0.300314465408805
2024-01,Education and Training,2666,11940,3400.0,0.1444111027756939
2024-01,Engineering,7544,14423,4050.0,0.22720042417815484
2024-01,Entertainment,182,684,4200.0,0.15934065934065933
2024-01,Environment / Health,727,3836,3450.0,0.1856946354883081
2024-01,Events / Promotions,364,719,3450.0,0.31043956043956045
2024-01,F&B,4666,20508,3700.0,0.10887269609944278
2024-01,General Management,1205,3109,4000.0,0.3087136929460581
2024-01,General Work,998,3137,2400.0,0.125250501002004
